"name","address1","city","state","postal","latitude","longitude"
"KO Storage of Rindge","15 Sears Dr","Rindge","NH","03461",42.7224125,-72.0200105
"KO Storage of Wisconsin Dells - Hwy 16"," W12908 WI-16","Wisconsin Dells","WI","53965",43.5829429,-89.64087819999999
"KO Storage of Wichita - N Amidon Ave","2359 North Amidon Avenue","Wichita","KS","67204",37.7259188,-97.3643802
"KO Storage of Milbank","104 W 12th Ave","Milbank","SD","57252",45.2081836,-96.6405904
"KO Storage of Lawton - Park Ave","221 SE Park Ave","Lawton","OK","73501",34.5949251,-98.3808651
"KO Storage of Weatherford - Marilyn St","2345 Marilyn St","Weatherford","TX","76085",32.7872116,-97.7902785
"KO Storage of Midland - South L Street","1001 South L Street","Midland","TX","79701",31.9849461,-102.0897078
"KO Storage of Lawton - Southwest A Ave","2105 SW A Ave","Lawton","OK","73501",34.6078573,-98.4199151
"KO Storage of Elk Point","32554 477th Avenue","Elk Point","SD","57025",42.6696244,-96.6609304
"KO Storage of Rush City","860 S Bremer Ave","Rush City","MN","55069",45.6804109,-92.9617507
"KO Storage of Watertown - State Route 37","24561 NY-37","Watertown","NY","13601",44.0220336,-75.9027487
"KO Storage of Cheyenne","711 East College Dr","Cheyenne","WY","82007",41.1010722,-104.7918642
"KO Storage of Minot - 34th Ave NE","109 34th Avenue NE","Minot","ND","58703",48.27298469999999,-101.2898037
"KO Storage of Eau Claire","7732 US Hwy 12","Eau Claire","WI","54701",44.7883049,-91.3801763
"KO Storage of Gilmer - US-271","10620 US 271","Gilmer","TX","75644",32.8811849,-94.9510196
"KO Storage of Wisconsin Dells - Hwy 13"," 3631 13th Ave","Wisconsin Dells","WI","53965",43.724473,-89.81922139999999
"KO Storage of Weatherford - Tin Top Rd","2220 Tin Top Rd","Weatherford","TX","76087",32.7255126,-97.7987406
"KO Storage of Evans Mills","29777 Gardnerville Rd","Evans Mills","NY","13637",44.099885,-75.772695
"KO Storage of Midland - Florida Ave","2215 W Florida Ave","Midland","TX","79701",31.9832306,-102.0945256
"KO Storage of Hudson","614 Brakke Dr","Hudson","WI","54016",44.968728,-92.67715
"KO Storage of Berwick","424 School Street","Berwick","ME","03901",43.2844172,-70.8069271
"KO Storage of Tomah - McCoy Blvd","1100 E. McCoy Blvd","Tomah","WI","54660",44.0219914,-90.4913807
"KO Storage of Minot - 21st Ave SE","300 21st Ave SE","Minot","ND","58701",48.2099049,-101.2758804
"KO Storage of Brookline","6625 W US Hwy 60","Brookline","MO","65619",37.11271090000001,-93.484564
"KO Storage of Middleton - Pinehurst Dr","2325 Pinehurst Drive","Middleton","WI","53562",43.101278,-89.53918519999999
"KO Storage of Granby - Hillcrest Rd","212 S Hillcrest Rd","Granby","MO","64844",36.916301,-94.2598353
"KO Storage of Pearsall","302 North Cherry St","Pearsall","TX","78061",28.8948457,-99.0968771
"KO Storage of Hastings","2699 Commerce Dr","Hastings","MN","55033",44.7212571,-92.8441922
"KO Storage of Heiskell - Bullrun Valley","1328 W Bullrun Valley Dr","Heiskell","TN","37754",36.05796740000001,-84.06382
"KO Storage of Vermillion","812 Bower Street","Vermillion","SD","57069",42.7900385,-96.94329309999999
"KO Storage of Staatsburg","4920 Route 9","Staatsburg","NY","12580",41.8291562,-73.9333185
"KO Storage of Eagle Pass - Cenizo Trail","2424 Cenizo Trail","Eagle Pass","TX","78852",28.7272104,-100.4772438
"KO Storage of Sedalia - 2410 W Main St","2410 West Main Street","Sedalia","MO","65301",38.7144805,-93.2567518
"KO Storage of Brackettville","651 East Military Hwy","Brackettville","TX","78832",29.30557599999999,-100.411835
"KO Storage of Springfield","3861 Ballentine Pike","Springfield","OH","45502",39.9853137,-83.8802874
"KO Storage of Sedalia - Metallic Rd","401 Metallic Rd","Sedalia","MO","65301",38.7155268,-93.2602878
"KO Storage of Pillager","3118 MN-210","Pillager","MN","56473",46.3386501,-94.44283329999999
"KO Storage of Republic","118 W North St","Republic","MO","65738",37.1291623,-93.4810623
"KO Storage of Windham","964 Roosevelt Trail","Windham","ME","04062",43.8563214,-70.4535278
"KO Storage of Pleasanton - Oaklawn St","2013 W Oaklawn Rd","Pleasanton","TX","78064",28.9415574,-98.5092028
"KO Storage of Rolla - S Bishop Ave","1344 S Bishop Ave","Rolla","MO","65401",37.9191229,-91.7803385
